VcsUrl,JobName,WeightedMiddle,AverageRatio,HighestRatio,LowestRatio,ValidBuildCount
https://github.com/zeit/now-cli,install,0.6630111765974211,0.668918051699586,0.9742183120959388,0.4009757388975233,4643
https://github.com/hashicorp/nomad,test-e2e,0.7050075865073393,0.6792522860408795,0.8197355737975128,0.22736072995211765,7303
https://github.com/twreporter/twreporter-react,build,0.582659395511083,0.47433142663100913,0.8282794726765538,0,1072
https://github.com/ethereum/solidity,test_emscripten_solcjs,0.7486610301760316,0.7041838853397451,0.9981986430112754,0.26315422572137814,8056
https://github.com/ethereum/solidity,t_ubu_release_cli,0.7641345314170193,0.7733092289594632,0.9974636175797666,0.43268370647308513,8461
https://github.com/hashicorp/nomad,test-devices,0.7455127844832256,0.7257472001088369,0.9035562776999635,0.5966461047957498,8008
https://github.com/elementor/elementor,php55-wp-latest-build,0.8227971938570526,0.7371324224227106,0.8859680662083854,0.4705696903498521,1658
https://github.com/nusmodifications/nusmods,checkout,0.6339454345572147,0.619416354832815,0.7711041656023977,0.3421487697815099,13697
https://github.com/fishtown-analytics/dbt,integration-redshift-py36,0.6856656167003015,0.5943100952130933,0.9831792084530513,0.06573117112247498,2825
https://github.com/artsy/reaction,yarn/test,0.6365514882577281,0.6021079278568611,0.9883381173595641,0.18143417795329092,892
https://github.com/ant-design/ant-design,check_metadata,0.6361346661301382,0.665502375678945,0.7994683833587036,0.6133602460201285,11971
https://github.com/circleci/circleci-docs,reindex-search,0.5979781547651415,0.5176235146763992,0.801938205571524,0.08785986752432634,1368
https://github.com/electron/electron,linux-x64-release-summary,0.2333886399329159,0.27982767426749505,0.8019510247996057,0.07150343395088017,445
https://github.com/storybookjs/storybook,docs,0.7184104821771184,0.6760840513766163,0.7902939358476053,0.2702340030514146,17316
https://github.com/activeadmin/activeadmin,upload_coverage,0.6221608565925664,0.554781467969085,0.792265814483568,0.0408941807072702,1599
https://github.com/facebook/react,lint,0.7056299763135873,0.6816004289693791,0.8566272443185842,0.47825467458718895,3705
https://github.com/envoyproxy/envoy,tsan,0.7221578508269438,0.5875021097977726,1.029954869777121,0,12042
https://github.com/angular/angular,test_aio_local,0.783859036406991,0.7380411424863466,0.9945396995605349,0.1556645584071669,32863
https://github.com/uktrade/data-hub-frontend,unit_tests,0.5776948123888933,0.5562067013987962,0.9219775554876338,0,7857
https://github.com/diem/diem,prefetch-crates,0.6752765898742884,0.6902215390010245,0.786934376093582,0.503918648282035,19435
https://github.com/storybookjs/storybook,packtracker,0.7200178122937767,0.7089646561263289,0.8413420698170349,0.5606137425255074,9976
https://github.com/horizon-eda/horizon,teststyle,0.5053203176274601,0.4114331651682367,0.7043008230240895,0.047908113482370784,846
https://github.com/influxdata/influxdb,e2e,0.7526911315913967,0.7326486435134764,1.0062040321365024,0.5017878128658402,21038
https://github.com/gatsbyjs/gatsby,windows_unit_tests,0.6639407192947431,0.4555514187863031,0.8422554559708213,0.08519694597345201,18991
https://github.com/citusdata/citus,check-style,0.718394374166495,0.6976635741500581,0.9715173702211672,0.06395150962582434,10105
https://github.com/hashicorp/consul,dev-upload-s3,0.6725071050418108,0.7076394047237188,0.919185891255115,0.6208537177100106,9478
https://github.com/cloudify-cosmo/cloudify-manager,test_clientv3_endpoints,0.6517659674797367,0.5821495817010027,0.8842185190117395,0.09002975710194092,2189
https://github.com/bazelbuild/rules_nodejs,lint,0.6702133260752818,0.5721677558412274,0.729043073476585,0.25521332434910415,6017
https://github.com/badges/shields,e2e,0.6692036640688236,0.6652612961387993,0.747281041991375,0.5152694588889036,7432
https://github.com/vercel/hyper,install,0.5015151177724573,0.46073577775679503,0.7943730250319889,0,2646
https://github.com/gatsbyjs/gatsby,bootstrap,0.3089327135344334,0.28598689120423837,0.6318295469087871,0.09045985142952563,42655
https://github.com/badges/shields,main,0.6315841369641426,0.6048904301510201,0.8064744198043463,0.29436633046752436,12603
https://github.com/Mirantis/virtlet,prepare_build,0.3135150300312509,0.25363352349732804,0.6467331000811896,0,870
https://github.com/keystonejs/keystone,simple_tests,0.2953792978984948,0.4367816130381639,0.8930007668528241,0.20510969217882347,4005
https://github.com/os-autoinst/openQA,cache,0.7226183736232644,0.6659652237755249,0.9175626260812335,0.3354944086345132,4025
https://github.com/AntennaPod/AntennaPod,Build debug,0.618610507480275,0.6141503992904325,0.7139581735195175,0.5420555139315597,2161
https://github.com/angular/angular-cli,lint,0.6570327517695148,0.6281756388426734,0.739491525851433,0.44177269787102275,15024
https://github.com/helm/charts,lint-scripts,0.23162377037618626,0.253059149894613,0.6983903884293323,0.15007739172871715,44317
https://github.com/grafana/grafana,build,0.7470218720460444,0.5806307091548484,1.0958779263365213,0,5803
https://github.com/decidim/decidim,pages,0.7439251068344764,0.7339057458206315,0.8796976801332712,0.4685495621944282,6219
https://github.com/raiden-network/raiden,lint-3.7,0.6389115629084472,0.6144055686829559,0.8747406073506918,0.26541963248325134,8839
https://github.com/storybookjs/storybook,test,0.6654196980579028,0.644922038073799,0.9653574740467079,0.1359426990453605,13165
https://github.com/cloudify-cosmo/cloudify-agent,build_agent,0.664424061954079,0.6311210529151057,0.8075721385905248,0.22950289733212148,1677
https://github.com/electron/electron,mac-checkout-and-save-cache,0.24230567426978947,0.23574804612408423,0.3154664411763148,0.15505528864581453,14223
https://github.com/storybookjs/storybook,smoke-tests,0.7604032173425691,0.7326816120650814,0.9767672415343197,0.20925494500190386,16919
https://github.com/angular/components,ivy_snapshot_test_cronjob,0.6695900109073935,0.6348300118401873,0.7008383427636197,0.5835930488219402,1864
