VcsUrl,JobName,Random,NonZeroBuildCount,MaxNonZeroBuildCountPerMonth,HitRule
https://github.com/tootsuite/mastodon,install-ruby2.5,10142505260891579769,11083,735,False
https://github.com/tootsuite/mastodon,install-ruby2.6,16517914669811778605,11077,799,False
https://github.com/Automattic/wp-calypso,translate,6777498655845935353,11060,2287,False
https://github.com/cBioPortal/cbioportal-frontend,api_sync,12314455047502988215,11000,527,False
https://github.com/Automattic/wp-calypso,test-e2e-canary,5131866882084729026,10971,1743,True
https://github.com/hashicorp/vault,test-ui,13120230603016835472,10930,935,False
https://github.com/angular/angular-cli,build-bazel,9009421722603578793,10829,687,False
https://github.com/oppia/oppia,setup,7284080191692019561,10791,1127,False
https://github.com/ethereum/solidity,b_ubu_release,1539943669870931291,10787,977,False
https://github.com/citusdata/citus,check-style,9168412594318685012,10749,1045,False
https://github.com/department-of-veterans-affairs/vets-website,build-e2e,17196513009035044515,10708,1690,False
https://github.com/angular/angular-cli,test-large,10872351910147206686,10695,724,False
https://github.com/storybookjs/storybook,packtracker,11444270784021060553,10612,775,False
https://github.com/hashicorp/consul,build-386,13448746785640670458,10607,831,False
https://github.com/hashicorp/consul,build-amd64,11601132359571104345,10532,830,False
https://github.com/ethereum/solidity,b_ubu18,4127362780540084123,10511,934,False
https://github.com/grafana/grafana,build-fast-backend,7520538167596392976,10478,1191,False
https://github.com/plotly/plotly.js,build,17307023888863095309,10465,537,False
https://github.com/envoyproxy/envoy,mac,15881163336292129378,10421,915,False
https://github.com/ethereum/solidity,b_ubu_clang,17241964599310165972,10400,983,False
https://github.com/Automattic/wp-calypso,wp-desktop-source,9015951649067674781,10389,2174,False
https://github.com/envoyproxy/envoy,clang_tidy,17603994899976691685,10368,1086,False
https://github.com/ethereum/solidity,docs,1428603256118251173,10296,949,False
https://github.com/badges/shields,main@node-latest,4905797839560284134,10289,897,False
https://github.com/citusdata/citus,check-sql-snapshots,10605672235096681493,10274,910,False
https://github.com/artsy/force,acceptance,3743583527280025417,10184,568,False
https://github.com/ethereum/solidity,t_ubu_cli,15693843787704177037,10180,827,False
https://github.com/ethereum/solidity,t_ems_solcjs,1597745211231068566,10178,781,False
https://github.com/mui-org/material-ui,test_build,72239501783399443,10176,1185,False
https://github.com/raiden-network/raiden,prepare-system-linux,4402705974433339164,10173,844,False
https://github.com/mui-org/material-ui,test_regressions,7169957793010310099,10156,842,False
https://github.com/ethereum/solidity,build_emscripten,11544832045008437732,10144,918,False
https://github.com/demisto/content,Instance Test,11637367227934657572,10137,2344,False
https://github.com/hashicorp/consul,lint-consul-retry,4169304190464534708,10128,920,False
https://github.com/wordpress-mobile/WordPress-Android,lint,7247266467763104437,10127,586,True
https://github.com/hashicorp/consul,dev-upload-s3,5158689755486331624,10082,800,False
https://github.com/expo/expo,expo_sdk,3755247920861125822,10007,733,True
https://github.com/storybookjs/storybook,native-smoke-tests,8691625227778462514,9995,1049,False
https://github.com/pytorch/vision,circleci_consistency,15605217023971428126,9987,1358,False
https://github.com/angular/components,view_engine_snapshot_test_cronjob,17856579669156112014,9964,742,False
https://github.com/plotly/plotly.js,test-image2,9186078734983998322,9964,529,False
https://github.com/raiden-network/raiden,prepare-python-linux-3.7,207763827566679050,9922,816,False
https://github.com/raiden-network/raiden,checkout,11682972779689686660,9918,811,False
https://github.com/tootsuite/mastodon,install-ruby2.4,6844409249485762938,9866,733,False
https://github.com/spotify/scio,bench_streaming_metrics,232468612134182317,9852,740,False
https://github.com/Automattic/wp-calypso,wp-desktop-mac,7812196209957376714,9839,2035,False
https://github.com/mui-org/material-ui,test_material-ui-x,18321346569187372655,9828,1254,False
https://github.com/storybookjs/storybook,chromatic,6113573388728844255,9828,757,False
https://github.com/influxdata/influxdb,jslint,2355455915756110261,9813,1270,False
https://github.com/tootsuite/mastodon,test-ruby2.5,17905037452446006904,9800,685,False
